last_name,first_name,player_id,year,strikeout,walk,k_percent,batting_avg,p_era,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,f_strike_percent,ff_avg_speed,fastball_avg_speed,fastball_avg_spin,breaking_avg_spin,offspeed_avg_spin
Kuhl, Chad,,2020,44,28,22.3,0.212,4.27,89.5,14.4,13.1,39.3,78.284208333,6.600981849,26.8,52.3,93.7,93.9,2008,2597,1584
Mahle, Tyler,,2020,60,21,29.9,0.198,3.59,87.4,20.8,6,39.7,76.316209138,5.353811121,33.7,62.2,93.9,93.9,2388,2634,1917
Dunn, Justin,,2020,38,31,19.2,0.189,4.34,92,21,11,44.9,83.598973651,7.01771632,22.1,57.1,91.2,91.2,2237,2363,1755
Civale, Aaron,,2020,69,16,22.1,0.282,4.74,87.1,10.4,6.7,33.5,75.989788288,5.101253964,24.9,63.1,91.2,89.7,2382,2799,2028
Canning, Griffin,,2020,56,23,23.5,0.257,3.99,88.9,18.9,8.9,34.2,78.665578571,5.665709221,27.1,56.3,92.8,91.4,2357,2590,1743
Cease, Dylan,,2020,44,34,17.3,0.234,4.01,89.8,15.2,8.8,40.9,79.089970706,6.561858059,25.3,54.9,97.5,97.5,2516,2772,1724
Montgomery, Jordan,,2020,47,9,24.4,0.265,5.11,84.6,11.5,6,29.9,71.276990909,4.997012576,28.2,57.5,92.6,92.2,2252,2280,1756
Peterson, David,,2020,40,24,19.5,0.202,3.44,87.4,13,7.2,33.3,76.464163088,5.302320667,26.1,55.1,92.1,92,2093,2183,1928
Sheffield, Justus,,2020,48,20,20.7,0.251,3.58,90.7,9.6,3.7,46.6,80.59685575,6.837836875,19.6,63.4,92.5,91.9,1940,2500,1725
Webb, Logan,,2020,46,24,18.7,0.288,5.47,88.4,6,5.4,40.1,77.132373855,5.898096024,22.9,60.4,93.1,92.4,2106,2712,1609
Bubic, Kris,,2020,49,22,22.1,0.263,4.32,87.1,11.5,8.1,36.2,74.927539315,5.665279658,24.6,47.7,91.4,91.4,2177,2567,1740
Singer, Brady,,2020,61,23,23.2,0.220,4.06,88.5,9,4.5,40.1,77.398455843,6.126124972,24.2,60.5,92.9,93.3,2240,2387,2164
Paddack, Chris,,2020,58,12,23.7,0.262,4.73,90.9,9.3,11,47.4,80.480246786,7.307474226,25.9,66.9,94.1,93.7,2171,2096,1786
Brubaker, JT,,2020,48,17,23.4,0.262,4.94,87.1,11.2,8,32.8,75.022040147,5.611878444,27.2,61.5,93.4,93.7,2284,2700,1758
Valdez, Framber,,2020,76,16,26.4,0.240,3.57,91.4,-0.8,7.9,48.7,81.369185532,7.230895957,24.3,59.7,93.2,93.1,2254,2982,1720
Javier, Cristian,,2020,54,18,25.2,0.188,3.48,86.9,25.1,6.4,29.3,76.423836667,4.697385693,22.5,44.4,92.2,92.2,2364,2626,1938
Luzardo, Jesus,,2020,59,17,23.8,0.257,4.12,88.9,10.5,7.1,36.7,78.485395366,5.790261524,29.6,62.5,95.5,95.5,2408,2533,1910
Plesac, Zach,,2020,57,6,27.7,0.191,2.28,87.8,16.8,9.9,33.1,77.482322571,5.131533786,29.8,64.6,92.8,92.8,2083,2137,1628
Gallen, Zac,,2020,82,25,28.2,0.210,2.75,87,12.4,7.2,32.6,75.761361573,5.139621469,30.2,64.9,93.2,90.8,2365,2431,1530
May, Dustin,,2020,44,16,19.6,0.220,2.57,87.9,6.3,6.7,33.7,76.854846,5.489027438,19.1,65.2,99.1,96.7,2475,3092,1937
Burnes, Corbin,,2020,88,24,36.7,0.174,2.11,86.9,9.7,7.2,34.4,75.489102222,5.25455616,34.7,52.9,96.1,94.7,2793,2932,1954
Bieber, Shane,,2020,122,21,41.1,0.167,1.63,89.3,9.6,7.2,43.1,78.051342838,6.655112703,40.7,63,94.1,92.7,2407,2413,1665
Dobnak, Randy,,2020,27,13,13.5,0.278,4.05,87.8,1.2,5.2,40.9,75.1416852,6.450353356,20.4,54,92.9,91.6,1950,2392,1732
Greinke, Zack,,2023,41,8,17.4,0.268,4.55,89.8,11.7,8.6,40.9,78.79258,6.548337391,18.8,63.6,89.6,88.8,2295,2478,1688
Kluber, Corey,,2023,34,18,17.7,0.269,6.26,90.5,19.7,10.2,45.3,79.824409412,6.90873875,21.8,65.1,88.1,87.2,2341,2552,1719
Hill, Rich,,2023,52,17,22.9,0.268,4.27,88.6,16.6,12.1,38.2,77.508896835,5.991411975,20.4,56.8,87.7,86.2,2220,2582,1820
Morton, Charlie,,2023,54,20,23.5,0.263,3.61,88.5,7.4,8.4,38.3,76.973709211,6.22775543,28.8,57.4,94.9,94.5,2274,3070,2074
Lynn, Lance,,2023,67,19,26.5,0.280,6.28,88.8,13.5,9,41.6,76.532961951,6.701311104,29.1,72.3,92.3,90.7,2472,2499,1786
Kershaw, Clayton,,2023,69,14,29.7,0.228,2.98,86.6,12.5,7.5,32.7,75.507956301,4.916310069,30.9,69.4,91.2,91.2,2344,2450,1775
Miley, Wade,,2023,24,9,14,0.237,3.67,87.4,16.5,10.3,33.8,75.945953284,5.523666493,16,50.9,89.4,87.5,2198,2332,1785
Gibson, Kyle,,2023,41,18,16.7,0.277,4.27,89.2,11.1,7.5,40.3,78.022788804,6.426497213,22.4,62.6,92,91.1,2247,2429,1700
